EMPLOYEE_ID	PMID
1000332	10893521
1000332	11108630
1000332	11160530
1000332	11345973
1000332	11352612
1000332	11400973
1000332	11506539
1000332	11525335
1000332	11733691
1000332	11771972
1000332	11865146
1000332	11906237
1000332	11969313
1000332	12112766
1000332	12169483
1000332	12187470
1000332	12205731
1000332	12377171
1000332	12414270
1000332	12417678
1000332	12509846
1000332	12667840
1000332	12803968
1000332	12811732
1000332	12880911
1000332	12888543
1000332	12925283
1000332	14568448
1000332	15102894
1000332	15340932
1000332	15371295
1000332	15447635
1000332	15453976
1000332	15548656
1000332	15660647
1000332	15699397
1000332	15746002
1000332	15825843
1000332	15893473
1000332	16040922
1000332	16436685
1000332	16484384
1000332	16505896
1000332	16574079
1000332	17056974
1000332	17100789
1000332	17122041
1000332	17133399
1000332	17178411
1000332	17196255
1000332	17287508
1000332	17467297
1000332	17469913
1000332	17540966
1000332	17652466
1000332	17958479
1000332	18056085
1000332	18072277
1000332	18369149
1000332	18457505
1000332	18511023
1000332	18578603
1000332	18658069
1000332	18992759
1000332	19000770
1000332	19038215
1000332	19107754
1000332	19129385
1000332	19199421
1000332	19289172
1000332	19716427
1000332	20160850
1000332	20164352
1000332	20592044
1000332	20603138
1000332	20817780
1000332	21549201
1000332	21613505
1000332	21661107
1000332	21771663
1000332	22387474
1000332	23133518
1000332	23340067
1000332	23341285
1000374	246499
1000374	972560
1000374	1124493
1000374	1559724
1000374	1767442
1000374	2296215
1000374	3127713
1000374	3185645
1000374	3523066
1000374	4416832
1000374	4503778
1000374	4590757
1000374	4727969
1000374	4827662
1000374	4841353
1000374	5010213
1000374	6107403
1000374	6434596
1000374	6834912
1000374	7782222
1000374	8156830
1000374	8342992
1000374	8429948
1000374	8647690
1000374	10133644
1000374	10140873
1000374	10144781
1000374	10157960
1000374	10184602
1000374	10245077
1000374	10317562
1000374	10659694
1000374	12650387
1000374	14236712
1000374	20844354
1000436	24068
1000436	63512
1000436	91140
1000436	92302
1000436	102781
1000436	109926
1000436	113450
1000436	395552
1000436	403480
1000436	411543
1000436	413864
1000436	435134
1000436	819100
1000436	819101
1000436	826585
1000436	960306
1000436	1255216
1000436	1282919
1000436	1344204
1000436	1345415
1000436	1374768
1000436	1375822
1000436	1401259
1000436	1460107
1000436	1461343
1000436	1467998
1000436	1508295
1000436	1521137
1000436	1552180
1000436	1579222
1000436	1701118
1000436	1713114
1000436	1736159
1000436	1845037
1000436	1859305
1000436	1879148
1000436	1961223
1000436	2050843
1000436	2054599
1000436	2054612
1000436	2098013
1000436	2245302
1000436	2252450
1000436	2260847
1000436	2267300
1000436	2267313
1000436	2290622
1000436	2306623
1000436	2308617
1000436	2375643
1000436	2403715
1000436	2430010
1000436	2533082
1000436	2545747
1000436	2554792
1000436	2636703
1000436	2790472
1000436	2802534
1000436	2888515
1000436	2900053
1000436	3110953
1000436	3207359
1000436	3209735
1000436	3220975
1000436	3221214
1000436	3230164
1000436	3307603
1000436	3324947
1000436	3431638
1000436	3435078
1000436	3461278
1000436	3477103
1000436	3479704
1000436	3484931
1000436	3516304
1000436	3579679
1000436	3579689
1000436	3662453
1000436	3688296
1000436	3707083
1000436	3708316
1000436	3819040
1000436	3898999
1000436	3960313
1000436	3963756
1000436	3974944
1000436	3981786
1000436	4031838
1000436	4069349
1000436	4073854
1000436	4202852
1000436	4561675
1000436	6157131
1000436	6159394
1000436	6165607
1000436	6166656
1000436	6167896
1000436	6176614
1000436	6179012
1000436	6189006
1000436	6272158
1000436	6320048
1000436	6347143
1000436	6348148
1000436	6348584
1000436	6382047
1000436	6395936
1000436	6470205
1000436	6498483
1000436	6514183
1000436	6527769
1000436	6538106
1000436	6736628
1000436	6781453
1000436	6841683
1000436	6851591
1000436	6870605
1000436	7032417
1000436	7114808
1000436	7174905
1000436	7174906
1000436	7174907
1000436	7276245
1000436	7316838
1000436	7367884
1000436	7440777
1000436	7440778
1000436	7469851
1000436	7523983
1000436	7556536
1000436	7611672
1000436	7717691
1000436	7741897
1000436	7754292
1000436	7824053
1000436	7922549
1000436	7973660
1000436	7979218
1000436	8018041
1000436	8027790
1000436	8029425
1000436	8035928
1000436	8050043
1000436	8072689
1000436	8120624
1000436	8155014
1000436	8239315
1000436	8254109
1000436	8275332
1000436	8306428
1000436	8336832
1000436	8363354
1000436	8363355
1000436	8363447
1000436	8419810
1000436	8421706
1000436	8442707
1000436	8534419
1000436	8609518
1000436	8670647
1000436	8896626
1000436	8967748
1000436	9009717
1000436	9126062
1000436	9135094
1000436	9168836
1000436	9222169
1000436	9243613
1000436	9339303
1000436	9345475
1000436	9371914
1000436	9403484
1000436	9579666
1000436	9579781
1000436	9600198
1000436	9648540
1000436	9789826
1000436	9818867
1000436	9874478
1000436	10051204
1000436	10075897
1000436	10082334
1000436	10195173
1000436	10218781
1000436	10356062
1000436	10466154
1000436	10473248
